Zeit [s],Ankerstrom [A],Drehzahl [1/min]
1.93,0.68151183232393,2000.00013097495
1.935,0.681509818721293,2000.00002637053
1.94,0.681513761552431,1999.99992906967
1.945,0.681521352342688,1999.99987174662
1.95,0.681529377964112,1999.99986803373
1.955,0.68153498004033,1999.99991078067
1.96,0.681536592736127,1999.99997781228
1.965,0.681534283570096,2000.00004200297
1.97,0.681529472770203,2000.00008148566
1.975,0.681524226580399,2000.00008642541
1.98,0.681520437264827,2000.00006054385
1.985,0.681519192701531,2000.00001769089
1.99,0.68152052485933,1999.99997543547
1.995,0.681523564938805,1999.99994837257
2,0.681526987216056,1999.99994351786
2.005,0.681529541842015,1999.99995906225
2.01,0.681530477375674,1999.99998639023
2.015,0.681529723529296,2000.00001414655
2.02,0.68152780835426,2000.00003261494
2.025,0.681525580467467,2000.0000368377
2.03,0.681523863576787,2000.00002758988
2.035,0.68152317406098,2000.00001020721
2.04,0.681523589852415,1999.99999201319
2.045,0.681524792379491,1999.99997946028
2.05,0.681526239740419,1999.99997602399
2.055,0.681527390245894,1999.99998146344
2.06,0.681527890690835,1999.99999249024
2.065,0.681527669460399,2000.00000439146
2.07,0.681526917088565,2000.00001289224
2.075,0.681525978748037,2000.00001557289
2.08,0.681525209911193,2000.00001241794
2.085,0.681524851157037,2000.00000544295
2.09,0.68152496262977,1999.99999767407
2.095,0.681525431540872,1999.99999193697
2.1,0.681526038605768,1999.9999899061
2.105,0.681526551040569,1999.99999170389
2.11,0.681526805609346,1999.99999610257
2.115,0.68152675441874,2000.00000116352
2.12,0.681526463406019,2000.00000502314
2.125,0.681526071494952,2000.0000065289
2.13,0.681525730810588,2000.00000552796
2.135,0.681525551717859,2000.00000276296
2.14,0.681525571031267,1999.99999947283
2.145,0.681525750797689,1999.999996884
2.15,0.681526003262174,1999.99999578599
2.155,0.681526229215159,1999.99999632576
2.16,0.681526354283834,1999.9999980578
2.165,0.681526350875501,2000.00000019229
2.17,0.681526240403796,2000.00000192386
2.175,0.681526078128806,2000.00000271401
2.18,0.681525928617947,2000.00000243629
2.185,0.681525841835332,2000.00000135538
2.19,0.681525838072212,1999.9999999735
2.195,0.681525905565222,1999.99999881841
2.2,0.681526009632712,1999.99999825594
2.205,0.681526108339424,1999.99999838831
2.21,0.681526168216365,1999.99999906011
2.215,0.681526174562639,1999.99999995286
2.22,0.681526133600583,2000.00000072143
2.225,0.681526067018448,2000.0000011182
2.23,0.681526001995787,2000.00000106379
2.235,0.681525960890598,2000.00000064814
2.24,0.681525954226282,2000.00000007262
2.245,0.681525978896756,1999.99999956248
2.25,0.681526021392216,1999.99999928475
2.255,0.681526064133549,1999.99999929939
2.26,0.681526092224042,1999.99999955528
2.265,0.681526098205591,1999.99999992547
2.27,0.681526083479841,2000.00000026328
2.275,0.681526056426248,2000.00000045638
2.28,0.681526028390507,2000.00000046043
2.285,0.681526009273149,2000.00000030378
2.29,0.68152600431564,2000.00000006619
2.295,0.681526013011853,1999.99999984301
2.3,0.681526030188923,1999.99999970953
2.305,0.681526048540322,1999.99999969805
2.31,0.681526061501812,1999.99999979334
2.315,0.68152606541617,1999.99999994547
2.32,0.681526060347222,2000.0000000926
2.325,0.681526049471525,2000.00000018437
2.33,0.681526037484031,2000.00000019761
2.335,0.681526028726843,2000.00000014006
2.34,0.681526025735676,2000.00000004289
2.345,0.681526028642442,1999.99999994611
2.35,0.681526035508032,1999.9999998833
2.355,0.681526043322464,1999.99999987095
2.36,0.681526049219924,1999.9999999054
2.365,0.681526051451965,1999.99999996732
2.37,0.681526049819926,2000.00000003085
2.375,0.681526045499484,2000.00000007365
2.38,0.681526040415975,2000.00000008411
2.385,0.681526036456576,2000.00000006368
2.39,0.681526034820751,2000.00000002434
2.395,0.681526035711253,1999.99999998272
2.4,0.681526038420759,1999.99999995367
2.405,0.681526041721013,1999.9999999453
2.41,0.681526044371697,1999.99999995726
2.415,0.681526045553581,1999.9999999822
2.42,0.681526045087102,2000.0000000094
2.425,0.681526043393957,2000.00000002905
2.43,0.681526041255873,2000.00000003551
2.435,0.681526039486174,2000.00000002861
2.44,0.68152603864207,2000.00000001285
2.445,0.681526038871206,1999.9999999951
2.45,0.681526039925035,1999.99999998185
2.455,0.681526041307394,1999.999999977
2.46,0.681526042485957,1999.9999999809
2.465,0.681526043083108,1999.99999999083
2.47,0.681526042982814,2000.00000000238
2.475,0.681526042329743,2000.00000001129
2.48,0.681526041438012,2000.00000001487
2.485,0.681526040655072,2000.00000001271
2.49,0.681526040236014,2000.00000000648
